pst,gv_aug_monthly,cvr_aug,cvr_jul,cvr_h1,asp_aug,gmv_aug_monthly,opp_vs_jul,opp_vs_h1
racks,230147.0,0.023875175431354742,0.03362194752636071,0.035069775628599094,71.70628488931666,424666.131,160850.84682505974,184744.33423116084
storage_basket,73195.59999999999,0.01334233205274634,0.05497685185185185,0.05318232180228979,52.12295532646048,57637.56399999999,158842.81207405814,151996.37309027137
storage_box,187877.69999999998,0.03664937350201754,0.0530327703593418,0.055141764735091116,48.9384004305705,431905.85299999994,150636.0629775964,170027.07281343188
storage_bottles,15827.0,0.04897959183673469,0.06065435455142027,0.05703680135751406,33.85416981132075,34091.149,6255.453975092644,4317.132995046999
hanging_closet_organizer,20871.5,0.04205735093309058,0.04610951008645533,0.051286456199701354,48.129886148007586,48192.454999999994,4070.5677831124985,9271.032341862732
closet_shelf_divider,5829.2,0.025423728813559324,0.033582089552238806,0.025954764553207266,51.96032967032967,8983.941,2471.062663113006,160.84390370252584
bread_box,2937.3999999999996,0.04204398447606727,0.05443548387096774,0.04258571740554706,46.399104477611935,5906.605999999999,1688.8712750361096,73.83425961478945
tool_organizers,83.6,0.022727272727272728,0.07608695652173914,0.050101557210561955,65.0,123.5,289.95652173913044,148.75186188219365
carton,13.299999999999999,0.0,0.125,0.0,0.0,0.0,0.0,0.0
cabinet_drawer_organization,30894.0,0.056519065190651904,0.04668138337012509,0.052828787282512904,53.23674418604651,104386.60799999998,0.0,0.0
aluminium_foil,3602.3999999999996,0.19831223628691982,0.16127010653854187,0.11095954478135475,15.56819248826291,12600.895,0.0,0.0
biscuit_cookie_jar,7151.599999999999,0.06323060573857599,0.05349949647532729,0.04403821484032138,42.966369863013696,23837.742,0.0,0.0
bag,36958.799999999996,0.09176434299814928,0.08908559363326295,0.06049912304798935,29.225012696800405,109333.69499999999,0.0,0.0
clothes_rack,34796.6,0.04717702304248116,0.03784001071954978,0.050919826934779554,74.30392971246006,132565.641,0.0,9677.109742335024
closet_organization_systems,12750.9,0.08061391744896439,0.06633543708876058,0.04740720671904634,37.43432989690721,48294.02899999999,0.0,0.0
closet_clothes_hanger,37694.1,0.13624678663239073,0.1034423492437635,0.09420425345506413,34.22952956636006,247462.38400000002,0.0,0.0
cling_film,1901.8999999999999,0.16783216783216784,0.12775800711743773,0.10657479554382124,19.155263157894737,6915.049999999999,0.0,0.0
cereal_dispenser,1666.3,0.059293044469783354,0.050742574257425746,0.040310077519379844,54.5655,6220.467,0.0,0.0
clamshells_hinged,3.8,0.0,0.13043478260869565,0.16666666666666666,0.0,0.0,0.0,0.0
countertop_wall_organization,3828.5,0.03821339950372209,0.03403200360604012,0.0334054313866859,43.36012345679013,6673.123,0.0,0.0
compost,13.299999999999999,0.0,0.08571428571428572,0.03007518796992481,0.0,0.0,0.0,0.0
foldable_wardrobe,26030.0,0.025766423357664235,0.020108622469590196,0.016690793283149968,94.84309895833333,69197.525,0.0,0.0
food_containers,102866.0,0.06861839674916882,0.055268819032880695,0.04938230368041075,37.77661466458658,322056.97299999994,0.0,0.0
food_wrap_dispenser,1387.0,0.06164383561643835,0.03737658674188998,0.05588595417176841,41.31739130434782,5416.709999999999,0.0,0.0
cooler,955.6999999999999,0.07952286282306163,0.0423728813559322,0.03678249927402962,81.35377777777778,6955.748,0.0,0.0
